ElimB	EunlBeff	EunlB
0.06516	0.07365	0.12127
0.09191	0.10334	0.13792
0.15484	0.16381	0.17917
0.22275	0.22689	0.23267
0.27869	0.28168	0.28445
0.35281	0.35330	0.35430
0.43395	0.43487	0.43520
0.52872	0.52780	0.52792
0.61691	0.61690	0.61696
0.69949	0.70071	0.70074
0.77384	0.77306	0.77309
0.83570	0.83323	0.83325
0.88149	0.88107	0.88109
0.06549	0.06577	0.15974
0.14522	0.15710	0.20629
0.22203	0.22982	0.25128
0.30038	0.30313	0.31257
0.37865	0.38117	0.38547
0.46868	0.47126	0.47283
0.55952	0.56087	0.56160
0.64926	0.64988	0.65028
0.73328	0.73119	0.73144
0.80350	0.80240	0.80261
0.10948	0.10806	0.23237
0.22276	0.23303	0.28762
0.32741	0.33224	0.35398
0.42315	0.42610	0.43563
0.51520	0.51718	0.52187
